firstname,surname,ssn,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Vernon L.,Smith,207-36-3351,US,,male,2002,economics,2,George Mason University,Fairfax VA,USA,Jan,93,75
Imre,Kertész,153-93-2850,HU,HU,male,2002,literature,1,,,,Nov,87,73
Jimmy,Carter,609-45-5769,US,,male,2002,peace,1,,,,Oct,96,78
J. M.,Coetzee,921-11-1582,ZA,,male,2003,literature,1,,,,Feb,80,63
Paul C.,Lauterbur,661-33-1499,US,US,male,2003,medicine,2,University of Illinois,Urbana IL,USA,May,78,74
Sir Peter,Mansfield,576-57-3018,GB,,male,2003,medicine,2,University of Nottingham School of Physics and Astronomy,Nottingham,United Kingdom,Oct,84,70
Alexei,Abrikosov,435-18-8863,RU,,male,2003,physics,3,Argonne National Laboratory,Argonne IL,USA,Jun,89,75
Vitaly L.,Ginzburg,823-54-7983,RU,,male,2003,physics,3,P.N. Lebedev Physical Institute,Moscow,Russia,Oct,93,87
Anthony J.,Leggett,787-25-2613,GB,,male,2003,physics,3,University of Illinois,Urbana IL,USA,Mar,82,65
Peter,Agre,233-65-9735,US,,male,2003,chemistry,2,Johns Hopkins University School of Medicine,Baltimore MD,USA,Jan,71,54
Roderick,MacKinnon,527-81-9576,US,,male,2003,chemistry,2,Rockefeller University,New York NY,USA,Feb,64,47
Robert F.,Engle III,431-27-5638,US,,male,2003,economics,2,New York University,New York NY,USA,Nov,78,61
Clive W.J.,Granger,284-11-6585,GB,US,male,2003,economics,2,University of California,San Diego CA,USA,Sep,75,69
Shirin,Ebadi,353-66-4447,IR,,female,2003,peace,1,,,,Jun,73,56
Richard,Axel,911-37-1636,US,,male,2004,medicine,2,Columbia University,New York NY,USA,Jul,74,58
Linda B.,Buck,110-24-9320,US,,female,2004,medicine,2,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Jan,73,57
David J.,Gross,423-65-4159,US,,male,2004,physics,3,University of California Kavli Institute for Theoretical Physics,Santa Barbara CA,USA,Feb,79,63
H. David,Politzer,316-77-9469,US,,male,2004,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,71,55
Frank,Wilczek,580-21-4654,US,,male,2004,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,69,53
Aaron,Ciechanover,821-23-7281,IL,,male,2004,chemistry,3,Technion - Israel Institute of Technology,Haifa,Israel,Oct,73,57
Avram,Hershko,774-80-7988,HU,,male,2004,chemistry,3,Technion - Israel Institute of Technology,Haifa,Israel,Dec,83,67
Irwin,Rose,711-15-2975,US,US,male,2004,chemistry,3,University of California,Irvine CA,USA,Jul,89,78
Elfriede,Jelinek,274-35-9081,AT,,female,2004,literature,1,,,,Oct,74,58
Wangari,Maathai,886-42-9918,KE,KE,female,2004,peace,1,,,,Apr,71,64
Finn E.,Kydland,875-89-8460,NO,,male,2004,economics,2,Carnegie Mellon University,Pittsburgh PA,USA,Dec,77,61
Edward C.,Prescott,553-90-9379,US,,male,2004,economics,2,Arizona State University,Tempe AZ,USA,Dec,80,64
Barry J.,Marshall,918-77-8765,AU,,male,2005,medicine,2,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,Sep,69,54
J. Robin,Warren,212-79-6281,AU,,male,2005,medicine,2,,,,Jun,83,68
Roy J.,Glauber,265-34-4255,US,US,male,2005,physics,2,Harvard University,Cambridge MA,USA,Sep,93,80
John L.,Hall,822-81-5751,US,,male,2005,physics,4,University of Colorado JILA,Boulder CO,USA,Aug,86,71
Theodor W.,Hänsch,818-54-9804,DE,,male,2005,physics,4,Max-Planck-Institut für Quantenoptik,Garching,Germany,Oct,79,64
Yves,Chauvin,271-94-6468,BE,FR,male,2005,chemistry,3,Institut Français du Pétrole,Rueil-Malmaison,France,Oct,85,75
Robert H.,Grubbs,776-29-2480,US,,male,2005,chemistry,3,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,78,63
Richard R.,Schrock,516-43-2318,US,,male,2005,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,75,60
Mohamed,ElBaradei,917-72-5959,EG,,male,2005,peace,2,,,,Jun,78,63
Robert J.,Aumann,951-44-8198,DE,,male,2005,economics,2,University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,Jun,90,75
Thomas C.,Schelling,129-99-9074,US,US,male,2005,economics,2,University of Maryland Department of Economics and School of Public Policy,College Park MD,USA,Apr,95,84
Harold,Pinter,884-34-1500,GB,GB,male,2005,literature,1,,,,Oct,78,75
Andrew Z.,Fire,856-86-2893,US,,male,2006,medicine,2,Stanford University School of Medicine,Stanford CA,USA,Apr,61,47
Craig C.,Mello,253-60-8307,US,,male,2006,medicine,2,University of Massachusetts Medical School,Worcester MA,USA,Oct,60,46
John C.,Mather,151-21-1846,US,,male,2006,physics,2,NASA Goddard Space Flight Center,Greenbelt MD,USA,Aug,74,60
George F.,Smoot,568-42-2313,US,,male,2006,physics,2,University of California,Berkeley CA,USA,Feb,75,61
Roger D.,Kornberg,691-77-5526,US,,male,2006,chemistry,1,Stanford University,Stanford CA,USA,Apr,73,59
Edmund S.,Phelps,327-26-5308,US,,male,2006,economics,1,Columbia University,New York NY,USA,Jul,87,73
Orhan,Pamuk,679-44-3353,TR,,male,2006,literature,1,,,,Jun,68,54
Muhammad,Yunus,648-17-3827,BD,,male,2006,peace,2,,,,Jun,80,66
Mario R.,Capecchi,407-57-7575,IT,,male,2007,medicine,3,University of Utah,Salt Lake City UT,USA,Oct,83,70
Sir Martin J.,Evans,637-65-1279,GB,,male,2007,medicine,3,Cardiff University,Cardiff,United Kingdom,Jan,79,66
Oliver,Smithies,441-71-9226,GB,US,male,2007,medicine,3,University of North Carolina,Chapel Hill NC,USA,Jun,92,82
Albert,Fert,654-36-6829,FR,,male,2007,physics,2,Universit&eacute; Paris-Sud,Orsay,France,Mar,82,69
Peter,Grünberg,755-45-8559,CZ,DE,male,2007,physics,2,Forschungszentrum J&uuml;lich,Jülich,Germany,May,79,68
Gerhard,Ertl,245-32-6455,DE,,male,2007,chemistry,1,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Oct,84,71
Doris,Lessing,163-49-4560,IR,GB,female,2007,literature,1,,,,Oct,94,88
Al,Gore,352-80-5165,US,,male,2007,peace,2,,,,Mar,72,59
Leonid,Hurwicz,734-84-4805,RU,US,male,2007,economics,3,University of Minnesota,Minneapolis MN,USA,Aug,91,90
Eric S.,Maskin,266-62-9059,US,,male,2007,economics,3,Institute for Advanced Study,Princeton NJ,USA,Dec,70,57
Roger B.,Myerson,749-39-1450,US,,male,2007,economics,3,University of Chicago,Chicago IL,USA,Mar,69,56
Harald,zur Hausen,965-40-6254,DE,,male,2008,medicine,2,German Cancer Research Center,Heidelberg,Germany,Mar,84,72
Françoise,Barré-Sinoussi,471-27-7756,FR,,female,2008,medicine,4,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,Jul,73,61
Luc,Montagnier,567-40-9636,FR,,male,2008,medicine,4,World Foundation for AIDS Research and Prevention,Paris,France,Aug,88,76
Yoichiro,Nambu,876-22-5492,JP,JP,male,2008,physics,2,Enrico Fermi Institute University of Chicago,Chicago IL,USA,Jan,94,87
Makoto,Kobayashi,917-10-1807,JP,,male,2008,physics,4,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,Apr,76,64
Toshihide,Maskawa,436-59-9071,JP,,male,2008,physics,4,Kyoto Sangyo University,Kyoto,Japan,Feb,80,68
Osamu,Shimomura,717-46-2594,JP,JP,male,2008,chemistry,3,Marine Biological Laboratory (MBL),Woods Hole MA,USA,Aug,90,80
Martin,Chalfie,894-45-7218,US,,male,2008,chemistry,3,Columbia University,New York NY,USA,Jan,73,61
Roger Y.,Tsien,871-18-8709,US,US,male,2008,chemistry,3,University of California,San Diego CA,USA,Feb,64,56
Jean-Marie Gustave,Le Clézio,845-22-9367,FR,,male,2008,literature,1,,,,Apr,80,68
Martti,Ahtisaari,813-58-9012,FI,,male,2008,peace,1,,,,Jun,83,71
Paul,Krugman,889-53-3370,US,,male,2008,economics,1,Princeton University,Princeton NJ,USA,Feb,67,55
Elizabeth H.,Blackburn,854-89-2126,AU,,female,2009,medicine,3,University of California,San Francisco CA,USA,Nov,72,61
Carol W.,Greider,445-93-9951,US,,female,2009,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Apr,59,48
Jack W.,Szostak,165-38-7913,GB,,male,2009,medicine,3,Harvard Medical School,Boston MA,USA,Nov,68,57
Charles K.,Kao,183-48-1857,CN,,male,2009,physics,2,Standard Telecommunication Laboratories,Harlow,United Kingdom,Nov,85,76
Willard S.,Boyle,892-80-6236,CA,CA,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,Aug,87,85
George E.,Smith,513-24-1089,US,,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,May,90,79
Venkatraman,Ramakrishnan,460-76-9501,IN,,male,2009,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,68,57
Thomas A.,Steitz,367-89-2958,US,US,male,2009,chemistry,3,Yale University,New Haven CT,USA,Aug,78,69
Ada E.,Yonath,663-98-8162,IL,,female,2009,chemistry,3,Weizmann Institute of Science,Rehovot,Israel,Jun,81,70
Herta,Müller,118-55-4013,RO,,female,2009,literature,1,,,,Aug,67,56
Barack,Obama,525-70-1253,US,,male,2009,peace,1,,,,Aug,59,48
Elinor,Ostrom,801-33-2205,US,US,female,2009,economics,2,Indiana University,Bloomington IN,USA,Aug,79,76
Oliver E.,Williamson,867-56-6391,US,,male,2009,economics,2,University of California,Berkeley CA,USA,Sep,88,77
Robert G.,Edwards,699-78-1710,GB,GB,male,2010,medicine,1,University of Cambridge,Cambridge,United Kingdom,Sep,88,85
Andre,Geim,832-46-3360,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Oct,62,52
Konstantin,Novoselov,702-75-1063,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Aug,46,36
Richard F.,Heck,844-56-3659,US,PH,male,2010,chemistry,3,University of Delaware,,USA,Aug,84,79
Ei-ichi,Negishi,753-77-1185,CN,,male,2010,chemistry,3,Purdue University,West Lafayette IN,USA,Jul,85,75
Akira,Suzuki,409-86-7293,JP,,male,2010,chemistry,3,Hokkaido University,Sapporo,Japan,Sep,90,80
Mario,Vargas Llosa,215-64-3034,PE,,male,2010,literature,1,,,,Mar,84,74
Xiaobo,Liu,389-33-6334,CN,CN,male,2010,peace,1,,,,Dec,62,55
Peter A.,Diamond,938-77-9253,US,,male,2010,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,80,70
Dale T.,Mortensen,397-19-3135,US,US,male,2010,economics,3,Northwestern University,Evanston IL,USA,Feb,75,71
Christopher A.,Pissarides,677-34-3358,CY,,male,2010,economics,3,London School of Economics and Political Science,London,United Kingdom,Feb,72,62
Bruce A.,Beutler,231-78-3636,US,,male,2011,medicine,4,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Dec,63,54
Jules A.,Hoffmann,556-94-3932,LU,,male,2011,medicine,4,University of Strasbourg,Strasbourg,France,Aug,79,70
Ralph M.,Steinman,712-91-2055,CA,,male,2011,medicine,2,Rockefeller University,New York NY,USA,Jan,68,68
Saul,Perlmutter,530-91-6766,US,,male,2011,physics,2,Lawrence Berkeley National Laboratory,Berkeley CA,USA,Sep,61,52
Brian P.,Schmidt,495-94-5383,US,,male,2011,physics,4,Australian National University,Weston Creek,Australia,Feb,53,44
Adam G.,Riess,750-96-5681,US,,male,2011,physics,4,Johns Hopkins University,Baltimore MD,USA,Dec,51,42
Dan,Shechtman,342-61-3605,IL,,male,2011,chemistry,1,Technion - Israel Institute of Technology,Haifa,Israel,Jan,79,70
Tomas,Tranströmer,909-13-7992,SE,SE,male,2011,literature,1,,,,Apr,84,80
Ellen,Johnson Sirleaf,609-53-9763,LR,,female,2011,peace,3,,,,Oct,82,73
Leymah,Gbowee,134-75-1416,LR,,female,2011,peace,3,,,,Feb,48,39
Tawakkol,Karman,913-36-4023,YE,,female,2011,peace,3,,,,Feb,41,32
Thomas J.,Sargent,971-57-9986,US,,male,2011,economics,2,New York University,New York NY,USA,Jul,77,68
Christopher A.,Sims,830-17-7667,US,,male,2011,economics,2,Princeton University,Princeton NJ,USA,Oct,78,69
Sir John B.,Gurdon,889-57-9066,GB,,male,2012,medicine,2,Gurdon Institute,Cambridge,United Kingdom,Oct,87,79
Shinya,Yamanaka,108-54-2950,JP,,male,2012,medicine,2,Kyoto University,Kyoto,Japan,Sep,58,50
Serge,Haroche,738-25-9881,MA,,male,2012,physics,2,Collège de France,Paris,France,Sep,76,68
David J.,Wineland,601-98-8220,US,,male,2012,physics,2,National Institute of Standards and Technology,Boulder CO,USA,Feb,76,68
Robert J.,Lefkowitz,328-47-9139,US,,male,2012,chemistry,2,Howard Hughes Medical Institute,,,Apr,77,69
Brian,Kobilka,959-71-7315,US,,male,2012,chemistry,2,Stanford University School of Medicine,Stanford CA,USA,May,65,57
Mo,Yan,825-87-5797,CN,,male,2012,literature,1,,,,Feb,65,57
Alvin E.,Roth,892-43-8082,US,,male,2012,economics,2,Harvard University,Cambridge MA,USA,Dec,69,61
Lloyd S.,Shapley,125-19-3584,US,US,male,2012,economics,2,University of California,Los Angeles CA,USA,Jun,93,89
James E.,Rothman,541-60-9968,US,,male,2013,medicine,3,Yale University,New Haven CT,USA,Nov,70,63
Randy W.,Schekman,756-20-3397,US,,male,2013,medicine,3,University of California,Berkeley CA,USA,Dec,72,65
Thomas C.,Südhof,151-52-1576,DE,,male,2013,medicine,3,Stanford University,Stanford CA,USA,Dec,65,58
François,Englert,206-23-6417,BE,,male,2013,physics,2,Université Libre de Bruxelles,Brussels,Belgium,Nov,88,81
Peter,Higgs,475-52-4212,GB,,male,2013,physics,2,University of Edinburgh,Edinburgh,United Kingdom,May,91,84
Martin,Karplus,725-34-3652,AT,,male,2013,chemistry,3,Université de Strasbourg,Strasbourg,France,Mar,90,83
Michael,Levitt,260-62-9600,ZA,,male,2013,chemistry,3,Stanford University School of Medicine,Stanford CA,USA,May,73,66
Arieh,Warshel,741-66-7072,IL,,male,2013,chemistry,3,University of Southern California,Los Angeles CA,USA,Nov,80,73
Alice,Munro,166-59-9493,CA,,female,2013,literature,1,,,,Jul,89,82
Eugene F.,Fama,206-54-7835,US,,male,2013,economics,3,University of Chicago,Chicago IL,USA,Feb,81,74
Lars Peter,Hansen,551-35-7646,US,,male,2013,economics,3,University of Chicago,Chicago IL,USA,Oct,68,61
Robert J.,Shiller,799-27-9460,US,,male,2013,economics,3,Yale University,New Haven CT,USA,Mar,74,67
John,O'Keefe,655-77-7100,US,,male,2014,medicine,2,University College,London,United Kingdom,Nov,81,75
May-Britt,Moser,343-43-4587,NO,,female,2014,medicine,4,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,Jan,57,51
Edvard I.,Moser,431-61-5148,NO,,male,2014,medicine,4,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,Apr,58,52
Isamu,Akasaki,749-58-4644,JP,,male,2014,physics,3,Meijo University,Nagoya,Japan,Jan,91,85
Hiroshi,Amano,668-36-3308,JP,,male,2014,physics,3,Nagoya University,Nagoya,Japan,Sep,60,54
Shuji,Nakamura,316-25-8771,JP,,male,2014,physics,3,University of California,Santa Barbara CA,USA,May,66,60
Eric,Betzig,587-50-6491,US,,male,2014,chemistry,3,Janelia Research Campus Howard Hughes Medical Institute,Ashburn VA,USA,Jan,60,54
Stefan W.,Hell,466-72-9430,RO,,male,2014,chemistry,3,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,Dec,58,52
William E.,Moerner,409-66-9083,US,,male,2014,chemistry,3,Stanford University,Stanford CA,USA,Jun,67,61
Patrick,Modiano,312-66-5815,FR,,male,2014,literature,1,,,,Jul,75,69
Kailash,Satyarthi,101-14-5937,IN,,male,2014,peace,2,,,,Jan,66,60
Malala,Yousafzai,980-28-2992,PK,,female,2014,peace,2,,,,Jul,23,17
Jean,Tirole,615-94-9069,FR,,male,2014,economics,1,Toulouse School of Economics (TSE),Toulouse,France,Aug,67,61
William C.,Campbell,781-10-4790,IE,,male,2015,medicine,4,Drew University,Madison NJ,USA,Jun,90,85
Satoshi,&#332;mura,492-22-7927,JP,,male,2015,medicine,4,Kitasato University,Tokyo,Japan,Jul,85,80
Youyou,Tu,203-31-6788,CN,,female,2015,medicine,2,China Academy of Traditional Chinese Medicine,Beijing,China,Dec,90,85
Takaaki,Kajita,581-45-9695,JP,,male,2015,physics,2,University of Tokyo,Kashiwa,Japan,Mar,61,56
Arthur B.,McDonald,393-58-3585,CA,,male,2015,physics,2,Queen's University,Kingston,Canada,Aug,77,72
Tomas,Lindahl,823-39-9586,SE,,male,2015,chemistry,3,Francis Crick Institute,Hertfordshire,United Kingdom,Jan,82,77
Paul,Modrich,702-90-3264,US,,male,2015,chemistry,3,Howard Hughes Medical Institute,Durham NC,USA,Jun,74,69
Aziz,Sancar,336-30-2289,TR,,male,2015,chemistry,3,University of North Carolina,Chapel Hill NC,USA,Sep,74,69
Svetlana,Alexievich,690-30-4515,UA,,female,2015,literature,1,,,,May,72,67
Angus,Deaton,351-33-3188,GB,,male,2015,economics,1,Princeton University,Princeton NJ,USA,Oct,75,70
Yoshinori,Ohsumi,590-82-2655,JP,,male,2016,medicine,1,Tokyo Institute of Technology,Tokyo,Japan,Feb,75,71
David J.,Thouless,843-97-7806,GB,GB,male,2016,physics,2,University of Washington,Seattle WA,USA,Sep,85,82
F. Duncan M.,Haldane,820-76-6850,GB,,male,2016,physics,4,Princeton University,Princeton NJ,USA,Sep,69,65
J. Michael,Kosterlitz,732-14-4239,GB,,male,2016,physics,4,Brown University,Providence RI,USA,Jun,77,73
Jean-Pierre,Sauvage,130-40-7475,FR,,male,2016,chemistry,3,University of Strasbourg,Strasbourg,France,Oct,76,72
Sir J. Fraser,Stoddart,499-73-8378,GB,,male,2016,chemistry,3,Northwestern University,Evanston IL,USA,May,78,74
Bernard L.,Feringa,947-49-2374,NL,,male,2016,chemistry,3,University of Groningen,Groningen,the Netherlands,May,69,65
Juan Manuel,Santos,811-91-7616,CO,,male,2016,peace,1,,,,Aug,69,65
Oliver,Hart,192-61-9386,GB,,male,2016,economics,2,Harvard University,Cambridge MA,USA,Oct,72,68
Bengt,Holmström,311-24-3445,FI,,male,2016,economics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,71,67
Bob,Dylan,742-94-4422,US,,male,2016,literature,1,,,,May,79,75
Jeffrey C.,Hall,744-39-2883,US,,male,2017,medicine,3,University of Maine,Maine ME,USA,May,75,72
Michael,Rosbash,995-29-5267,US,,male,2017,medicine,3,Brandeis University,Waltham MA,USA,Mar,76,73
Michael W.,Young,297-16-9281,US,,male,2017,medicine,3,Rockefeller University,New York NY,USA,Mar,71,68
Rainer,Weiss,404-81-2438,DE,,male,2017,physics,2,LIGO/VIRGO Collaboration,,,Sep,88,85
Barry C.,Barish,549-55-9345,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jan,84,81
Kip S.,Thorne,863-18-2888,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jun,80,77
Jacques,Dubochet,183-83-4562,CH,,male,2017,chemistry,3,University of Lausanne,Lausanne,Switzerland,Jun,78,75
Joachim,Frank,742-99-5275,DE,,male,2017,chemistry,3,Columbia University,New York NY,USA,Sep,80,77
Richard,Henderson,957-58-7809,GB,,male,2017,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jul,75,72
Kazuo,Ishiguro,877-62-6131,JP,,male,2017,literature,1,,,,Nov,66,63
Richard H.,Thaler,878-23-2569,US,,male,2017,economics,1,University of Chicago,Chicago IL,USA,Sep,75,72
James P.,Allison,646-94-8627,US,,male,2018,medicine,2,Parker Institute for Cancer Immunotherapy,San Francisco CA,USA,Aug,72,70
Tasuku,Honjo,299-54-5883,JP,,male,2018,medicine,2,Kyoto University,Kyoto,Japan,Jan,78,76
Arthur,Ashkin,779-19-7346,US,,male,2018,physics,2,Bell Laboratories,Holmdel NJ,USA,Sep,98,96
Gérard,Mourou,488-84-5215,FR,,male,2018,physics,4,École Polytechnique,Palaiseau,France,Jun,76,74
Donna,Strickland,526-18-7252,CA,,female,2018,physics,4,University of Waterloo,Waterloo,Canada,May,61,59
Frances H.,Arnold,199-11-5952,US,,female,2018,chemistry,2,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,64,62
George P.,Smith,888-54-8893,US,,male,2018,chemistry,4,University of Missouri,Columbia,USA,Mar,79,77
Sir Gregory P.,Winter,214-64-6911,GB,,male,2018,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,69,67
Denis,Mukwege,806-23-7810,CD,,male,2018,peace,2,,,,Mar,65,63
Nadia,Murad,294-83-1105,IQ,,female,2018,peace,2,,,,Jan,27,25
William D.,Nordhaus,699-84-6973,US,,male,2018,economics,2,Yale University,New Haven CT,USA,May,79,77
Paul M.,Romer,437-37-4044,US,,male,2018,economics,2,NYU Stern School of Business,New York NY,USA,Nov,65,63
William,Kaelin,744-86-3625,US,,male,2019,medicine,3,Harvard Medical School,Boston MA,USA,Nov,63,62
Peter,Ratcliffe,731-86-2548,GB,,male,2019,medicine,3,University of Oxford,Oxford,United Kingdom,May,66,65
Gregg,Semenza,958-18-8857,US,,male,2019,medicine,3,Johns Hopkins University,Baltimore MD,USA,Jul,64,63
James,Peebles,746-56-4124,CA,,male,2019,physics,2,Princeton University,Princeton NJ,USA,Apr,85,84
Michel,Mayor,190-18-6345,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Jan,78,77
Didier,Queloz,612-83-2389,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Feb,54,53
John,Goodenough,325-56-9283,DE,,male,2019,chemistry,3,University of Texas,Austin TX,USA,Jul,98,97
M. Stanley,Whittingham,672-98-3880,GB,,male,2019,chemistry,3,Binghamton University State University of New York,New York NY,USA,Dec,79,78
Akira,Yoshino,106-15-9501,JP,,male,2019,chemistry,3,Asahi Kasei Corporation,Tokyo,Japan,Jan,72,71
Olga,Tokarczuk,728-63-8960,PL,,female,2018,literature,1,,,,Jan,58,56
Peter,Handke,376-11-4425,AT,,male,2019,literature,1,,,,Dec,78,77
Abiy,Ahmed Ali,800-75-1857,ET,,male,2019,peace,1,,,,Aug,44,43
Abhijit,Banerjee,316-98-8768,IN,,male,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Feb,59,58
Esther,Duflo,225-79-8359,FR,,female,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Oct,48,47
Michael,Kremer,291-70-2126,US,,male,2019,economics,3,Harvard University,Cambridge MA,USA,Nov,56,55
Roger,Penrose,889-64-6448,GB,,male,2020,physics,2,University of Oxford,Oxford,United Kingdom,Aug,94,89
Reinhard,Genzel,977-57-1108,DE,,male,2020,physics,4,Max Planck Institute for Extraterrestrial Physics,Garching,Germany,Mar,73,68
Andrea,Ghez,842-63-8428,US,,female,2020,physics,4,"University of California, Los Angeles (UCLA)","Los Angeles, CA",USA,Jun,60,55
Emmanuelle,Charpentier,544-46-5905,FR,,female,2020,chemistry,2,Max Planck Unit for the Science of Pathogens,Berlin,Germany,Dec,57,51
Jennifer,Doudna,935-57-7619,US,,female,2020,chemistry,2,"University of California, Berkeley","Berkeley, CA",USA,Feb,61,56
Harvey J.,Alter,664-46-7481,US,,male,2020,medicine,3,National Institutes of Health,"Bethesda, MD",USA,Sep,90,85
Michael,Houghton,521-44-4839,GB,,male,2020,medicine,3,University of Alberta,Edmonton,Canada,0,76,71
Charles M.,Rice,193-78-5959,US,,male,2020,medicine,3,Rockefeller University,"New York, NY",USA,Aug,73,68
Louise,Glück,386-24-9994,US,,female,2020,literature,1,Yale University,"New Haven, CT",USA,Apr,82,77
World Food Programme,,418-56-9967,IT,,,2020,peace,1,,Rome,Italy,,64,58
Paul,Milgrom,558-15-2616,US,,male,2020,economics,2,Stanford University,"Stanford, CA",USA,Apr,77,72
Robert B.,Wilson,703-97-7276,US,,male,2020,economics,2,Stanford University,"Stanford, CA",USA,May,88,83
Syukuro,Manabe,718-62-9065,JP,,male,2021,physics,4,Princeton University,"Princeton, NJ",USA,Sep,94,90
Klaus,Hasselmann,846-34-9013,DE,,male,2021,physics,4,Max Planck Institute for Meteorology,Hamburg,Germany,Oct,94,89
Giorgio,Parisi,726-32-2952,IT,,male,2021,physics,2,Sapienza University of Rome,Rome,Italy,Aug,77,73
Benjamin,List,565-71-8043,DE,,male,2021,chemistry,2,Max Planck Institute for Coal Research,Mülheim an der Ruhr,Germany,Jan,57,53
David,MacMillan,984-84-6980,GB,,male,2021,chemistry,2,Princeton University,"Princeton, NJ",USA,Mar,57,53
David,Julius,599-95-4185,US,,male,2021,medicine,2,"University of California, San Francisco","San Francisco, CA",USA,Nov,70,65
Ardem,Patapoutian,755-52-7295,LB,,male,2021,medicine,2,Scripps Research,"La Jolla, CA",USA,Oct,58,53
Abdulrazak,Gurnah,621-49-8962,TZ,,male,2021,literature,1,University of Kent,Canterbury,United Kingdom,Dec,77,72
Maria,Ressa,319-93-2818,PH,,female,2021,peace,2,Rappler,Pasig,Philippines,Oct,62,57
Dmitry,Muratov,885-78-9051,RU,,male,2021,peace,2,Novaya Gazeta,Moscow,Russia,Oct,64,59
David,Card,893-59-7147,CA,,male,2021,economics,2,"University of California, Berkeley","Berkeley, CA",USA,0,69,65
Joshua,Angrist,965-64-4881,US,,male,2021,economics,4,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,Sep,65,61
Guido,Imbens,368-39-6640,NL,,male,2021,economics,4,Stanford University,"Stanford, CA",USA,Sep,62,58
Alain,Aspect,691-89-3738,FR,,male,2022,physics,3,Paris-Saclay University,Palaiseau,France,Jun,78,75
John,Clauser,330-35-4445,US,,male,2022,physics,3,J.F. Clauser & Assoc.,"Walnut Creek, CA",USA,Dec,83,79
Anton,Zeilinger,426-88-5049,AT,,male,2022,physics,3,University of Vienna,Vienna,Austria,May,80,77
Carolyn R.,Bertozzi,318-12-1548,US,,female,2022,chemistry,3,Stanford University,"Stanford, CA",USA,Oct,59,55
Karl Barry,Sharpless,571-61-9320,US,,male,2022,chemistry,3,Scripps Research,"La Jolla, CA",USA,Apr,84,81
Morten P.,Meldal,919-79-1792,DK,,male,2022,chemistry,3,University of Copenhagen,Copenhagen,Denmark,Jan,71,68
Svante,Pääbo,948-10-6654,SE,,male,2022,medicine,1,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany,Apr,70,67
Annie,Ernaux,461-30-6235,FR,,female,2022,literature,1,,,,Sep,85,82
Ales,Bialiatski,528-32-8721,BY,,male,2022,peace,3,Viasna Human Rights Centre,Minsk,Belarus,Sep,63,60
Memorial,,693-78-5350,RU,,,2022,peace,3,,Moscow,Russia,,36,33
Center for Civil Liberties,,391-74-4973,UA,,,2022,peace,3,,Kyiv,Ukraine,,18,15
Ben,Bernanke,706-82-5949,US,,male,2022,economics,3,Brookings Institution,"Washington, D.C.",USA,Dec,72,68
Douglas,Diamond,560-88-6447,US,,male,2022,economics,3,University of Chicago,"Chicago, IL",USA,Oct,72,68
Philip H.,Dybvig,343-39-3596,US,,male,2022,economics,3,Washington University in St. Louis,"St. Louis, MO",USA,May,70,67
Pierre,Agostini,594-94-5086,FR,,male,2023,physics,3,Ohio State University,"Columbus, OH",USA,Jul,84,82
Ferenc,Krausz,251-87-4534,HU,,male,2023,physics,3,Max Planck Institute of Quantum Optics,Garching,Germany,May,63,61
